Sale_ID,Book_ID,Customer_ID,Quantity,Date
S00186,B012,C046,2,2025-10-08
S00187,B002,C035,3,2024-10-17
S00188,B089,C067,4,2024-01-20
S00189,B008,C042,1,2024-11-12
S00190,B053,C136,4,2024-07-25
S00191,B071,C104,5,2024-07-04
S00192,B007,C200,4,2024-06-13
S00193,B045,C086,3,2024-06-12
S00194,B093,C029,2,2024-02-24
S00195,B082,C131,1,2025-08-04
S00196,B034,C040,4,2025-03-05
S00197,B048,C064,5,2025-07-28
S00198,B076,C002,3,2024-02-09
S00199,B098,C082,4,2025-04-11
S00200,B039,C053,5,2024-12-31
S00201,B058,C058,4,2024-10-29
S00202,B014,C114,2,2025-10-06
S00203,B038,C078,1,2025-10-23
S00204,B040,C022,5,2024-11-22
S00205,B093,C001,5,2024-09-11
S00206,B053,C101,3,2025-09-28
S00207,B023,C181,4,2024-02-17
S00208,B082,C151,3,2024-11-08
S00209,B065,C193,2,2025-07-23
S00210,B094,C086,4,2025-08-19
S00211,B072,C100,5,2025-04-30
S00212,B094,C068,3,2024-02-01
S00213,B069,C095,3,2024-08-07
S00214,B049,C002,4,2024-07-31
S00215,B072,C077,4,2024-06-28
S00216,B044,C056,2,2024-04-01
S00217,B019,C146,3,2025-06-21
S00218,B004,C122,2,2024-02-06
S00219,B088,C196,4,2025-03-04
S00220,B040,C070,5,2025-03-17
S00221,B018,C067,2,2025-01-03
S00222,B066,C015,3,2025-12-08
S00223,B094,C155,3,2025-01-21
S00224,B051,C088,3,2024-10-12
S00225,B068,C045,1,2024-05-14
S00226,B084,C059,3,2024-12-11
S00227,B079,C031,5,2024-08-19
S00228,B024,C112,3,2024-11-02
S00229,B084,C013,5,2024-07-19
S00230,B017,C109,1,2025-01-08
S00231,B014,C053,2,2025-12-20
S00232,B085,C138,1,2025-12-07
S00233,B036,C154,5,2025-09-01
S00234,B043,C048,4,2025-03-04
S00235,B020,C134,5,2024-02-17
S00236,B078,C119,2,2024-01-01
S00237,B006,C042,3,2025-09-16
S00238,B096,C179,3,2025-02-08
S00239,B045,C033,4,2025-12-04
S00240,B017,C122,1,2024-01-26
S00241,B042,C176,1,2025-02-18
S00242,B079,C034,1,2025-07-13
S00243,B096,C022,2,2024-04-16
S00244,B007,C006,2,2025-08-28
S00245,B059,C128,3,2024-06-06
S00246,B095,C177,5,2025-10-24
S00247,B097,C178,2,2025-06-27
S00248,B070,C187,3,2024-01-14
S00249,B095,C106,1,2025-08-24
S00250,B095,C055,2,2025-07-12
S00251,B037,C123,4,2025-12-26
S00252,B017,C136,2,2024-03-26
S00253,B084,C175,3,2025-08-13
S00254,B093,C177,5,2025-11-01
S00255,B027,C034,3,2025-03-13
S00256,B098,C094,5,2025-04-06
S00257,B056,C172,4,2025-07-20
S00258,B015,C070,3,2025-05-23
S00259,B013,C124,3,2025-01-20
S00260,B076,C023,5,2024-12-16
S00261,B055,C084,1,2025-12-04
S00262,B088,C179,2,2024-10-04
S00263,B093,C082,5,2025-07-17
S00264,B032,C191,3,2025-01-26
S00265,B015,C081,4,2025-11-18
S00266,B073,C127,2,2024-11-17
S00267,B022,C035,2,2024-12-01
S00268,B023,C190,2,2024-03-30
S00269,B048,C061,5,2025-08-26
S00270,B079,C162,4,2025-07-07
S00271,B026,C107,1,2025-03-11
S00272,B096,C107,4,2024-04-30
S00273,B044,C153,3,2025-03-03
S00274,B034,C024,5,2025-11-22
S00275,B097,C090,5,2024-04-20
S00276,B039,C024,1,2025-03-03
S00277,B095,C140,5,2025-09-21
S00278,B044,C083,3,2025-01-05
S00279,B080,C113,1,2025-02-25
S00280,B067,C021,2,2025-08-06
S00281,B067,C175,5,2024-12-17
S00282,B068,C090,2,2024-09-08
S00283,B073,C028,5,2024-11-25
S00284,B039,C051,5,2024-08-27
S00285,B036,C071,2,2024-10-21
S00286,B012,C121,3,2025-01-20
S00287,B044,C191,3,2024-08-30
S00288,B020,C027,5,2024-01-20
S00289,B001,C127,5,2025-09-29
S00290,B099,C021,5,2025-01-30
S00291,B019,C186,4,2025-04-27
S00292,B040,C165,3,2024-09-05
S00293,B034,C164,5,2025-08-09
S00294,B026,C151,4,2025-03-23
S00295,B092,C011,4,2024-06-27
S00296,B031,C166,1,2024-11-10
S00297,B025,C009,5,2025-06-27
S00298,B021,C010,3,2024-12-31
S00299,B045,C179,5,2025-10-16
S00300,B052,C043,2,2025-09-19
S00301,B012,C054,4,2024-07-16
S00302,B008,C168,4,2024-04-19
S00303,B044,C015,1,2024-12-05
S00304,B097,C166,2,2025-03-06
S00305,B081,C094,5,2025-03-31
S00306,B057,C008,3,2025-01-22
S00307,B088,C027,5,2024-02-15
S00308,B058,C123,2,2024-05-13
S00309,B050,C158,2,2025-09-28
S00310,B047,C100,1,2025-12-19
S00311,B033,C197,4,2024-09-21
S00312,B057,C039,4,2025-07-13
S00313,B020,C074,4,2024-05-15
S00314,B020,C068,5,2025-08-30
S00315,B048,C062,4,2025-06-07
S00316,B057,C075,2,2024-12-15
S00317,B093,C187,4,2025-10-29
S00318,B099,C028,1,2024-05-26
S00319,B068,C007,4,2025-02-17
S00320,B024,C112,3,2025-10-20
S00321,B089,C190,5,2025-03-09
S00322,B093,C066,5,2025-09-26
S00323,B009,C172,5,2024-01-08
S00324,B095,C126,5,2024-11-04
S00325,B089,C074,2,2025-04-17
S00326,B064,C089,1,2025-12-30
S00327,B018,C183,5,2025-09-05
S00328,B021,C182,5,2024-07-16
S00329,B087,C006,4,2025-10-28
S00330,B059,C046,1,2024-05-16
S00331,B027,C051,4,2025-09-22
S00332,B095,C109,4,2024-08-11
S00333,B081,C126,5,2025-06-11
S00334,B082,C137,4,2025-09-29
S00335,B057,C079,4,2025-08-21
S00336,B074,C017,1,2025-10-27
S00337,B009,C169,4,2024-08-23
S00338,B057,C158,5,2024-02-03
S00339,B044,C029,1,2025-01-21
S00340,B032,C146,5,2024-02-23
S00341,B078,C132,1,2025-02-18
S00342,B096,C159,3,2025-02-04
S00343,B029,C178,5,2025-12-04
S00344,B011,C164,2,2025-04-13
S00345,B066,C110,1,2025-11-17
S00346,B021,C051,2,2024-07-06
S00347,B008,C038,4,2024-07-16
S00348,B020,C029,3,2024-12-10
S00349,B054,C136,3,2024-09-26
S00350,B044,C071,1,2025-01-08
S00351,B043,C103,3,2024-02-04
S00352,B100,C004,2,2025-03-24
S00353,B077,C040,3,2024-02-16
S00354,B090,C126,2,2025-06-03
S00355,B094,C028,3,2025-08-23
S00356,B058,C128,5,2025-06-17
S00357,B012,C144,5,2025-08-01
S00358,B071,C193,5,2024-10-18
S00359,B066,C187,2,2025-08-12
S00360,B089,C018,3,2024-05-23
S00361,B034,C125,5,2024-01-07
S00362,B085,C136,2,2025-12-16
S00363,B097,C074,2,2024-08-15
S00364,B061,C152,5,2025-10-18
S00365,B038,C074,3,2024-11-07
S00366,B089,C078,1,2025-01-02
S00367,B099,C004,5,2025-09-26
S00368,B003,C198,3,2024-06-09
S00369,B028,C153,3,2025-11-11
S00370,B090,C036,1,2024-10-10
S00371,B067,C175,1,2025-12-13
S00372,B045,C083,4,2025-07-30
S00373,B003,C120,1,2024-01-08
S00374,B038,C043,3,2024-07-01
S00375,B040,C057,4,2024-06-18
S00376,B080,C152,3,2024-10-11
S00377,B089,C164,3,2024-01-25
S00378,B066,C117,2,2025-05-03
S00379,B027,C180,3,2024-10-22
S00380,B013,C063,1,2024-11-14
S00381,B018,C097,4,2025-02-27
S00382,B086,C033,1,2024-09-25
S00383,B060,C194,2,2025-05-11
S00384,B046,C102,2,2025-01-25
S00385,B002,C002,1,2025-06-08
S00386,B047,C042,1,2025-08-23
S00387,B085,C020,3,2025-09-23
S00388,B043,C087,5,2025-01-28
S00389,B007,C143,5,2024-09-05
S00390,B079,C030,5,2024-02-06
S00391,B098,C171,1,2024-10-05
S00392,B014,C038,5,2024-07-06
S00393,B086,C062,4,2024-11-27
S00394,B099,C008,4,2025-11-08
S00395,B076,C129,1,2025-05-14
S00396,B071,C179,5,2025-09-16
S00397,B023,C093,2,2024-04-24
S00398,B069,C037,2,2025-07-11
S00399,B043,C160,1,2025-11-26
S00400,B052,C087,3,2024-08-27
S00401,B044,C025,4,2024-12-07
S00402,B061,C182,2,2024-11-10
S00403,B045,C022,4,2024-01-10
S00404,B001,C003,5,2025-08-06
S00405,B095,C005,5,2025-11-06
S00406,B047,C042,2,2025-04-16
S00407,B026,C183,4,2025-06-12
S00408,B019,C109,2,2025-06-26
S00409,B022,C147,4,2024-12-05
S00410,B073,C191,1,2025-11-21
S00411,B068,C044,5,2024-04-03
S00412,B003,C009,1,2025-06-10
S00413,B033,C196,4,2024-09-07
S00414,B040,C169,1,2025-02-27
S00415,B053,C119,3,2024-04-02
S00416,B032,C103,5,2024-02-09
S00417,B037,C150,3,2024-08-11
S00418,B020,C118,3,2024-05-19
S00419,B015,C180,1,2024-02-03
S00420,B042,C128,5,2025-09-18
S00421,B027,C037,1,2025-04-09
S00422,B088,C179,1,2025-03-07
S00423,B036,C158,2,2024-12-13
S00424,B031,C047,1,2025-08-29
S00425,B079,C056,3,2024-04-11
S00426,B097,C121,2,2025-01-22
S00427,B014,C032,3,2025-03-22
S00428,B001,C091,5,2025-03-08
S00429,B020,C109,2,2025-05-28
S00430,B015,C077,1,2025-08-22
S00431,B085,C034,1,2025-10-01
S00432,B072,C041,1,2025-03-05
S00433,B031,C040,4,2025-10-10
S00434,B042,C145,3,2024-06-28
S00435,B064,C005,3,2025-12-02
S00436,B096,C124,4,2024-12-11
S00437,B046,C198,5,2025-03-06
S00438,B033,C013,1,2024-01-11
S00439,B041,C037,2,2024-07-11
S00440,B035,C063,5,2025-11-03
S00441,B013,C125,3,2025-01-10
S00442,B060,C108,1,2025-12-03
S00443,B033,C100,1,2024-04-12
S00444,B092,C074,4,2025-02-12
S00445,B088,C101,4,2025-10-03
S00446,B015,C191,1,2024-08-06
S00447,B073,C154,1,2025-08-04
S00448,B092,C003,3,2025-08-16
S00449,B087,C090,1,2025-06-23
S00450,B071,C181,5,2025-08-28
S00451,B010,C093,5,2025-01-15
S00452,B006,C152,3,2024-07-31
S00453,B069,C110,2,2025-08-26
S00454,B015,C025,5,2025-06-15
S00455,B074,C077,4,2024-12-23
S00456,B047,C097,3,2024-06-07
S00457,B038,C187,3,2024-04-18
S00458,B021,C188,5,2024-02-23
S00459,B032,C100,2,2025-07-07
S00460,B076,C041,3,2025-07-13
S00461,B011,C189,2,2025-12-13
S00462,B013,C093,2,2025-04-06
S00463,B081,C016,3,2025-04-30
S00464,B068,C114,4,2025-08-27
S00465,B024,C062,3,2025-04-08
S00466,B005,C164,5,2024-01-17
S00467,B049,C064,2,2024-03-12
S00468,B061,C198,5,2024-08-05
S00469,B078,C121,4,2024-02-11
S00470,B018,C002,5,2024-07-31
S00471,B009,C078,2,2024-04-13
S00472,B006,C175,4,2025-07-27
S00473,B002,C115,4,2025-11-05
S00474,B015,C188,1,2024-10-13
S00475,B005,C199,2,2024-10-05
S00476,B047,C105,4,2024-02-07
S00477,B003,C010,4,2025-02-21
S00478,B099,C009,2,2025-09-01
S00479,B082,C185,4,2024-08-15
S00480,B077,C194,2,2024-07-26
S00481,B059,C131,3,2024-03-15
S00482,B033,C195,3,2025-03-22
S00483,B011,C111,1,2024-06-20
S00484,B033,C109,2,2025-10-22
S00485,B097,C161,2,2025-10-19
S00486,B044,C050,4,2025-02-22
S00487,B037,C096,1,2025-03-12
S00488,B074,C099,4,2025-10-02
S00489,B066,C172,1,2024-11-10
S00490,B014,C013,2,2025-08-07
S00491,B087,C027,2,2024-09-18
S00492,B049,C173,4,2024-04-02
S00493,B083,C171,1,2025-10-13
S00494,B005,C040,5,2024-12-03
S00495,B073,C135,5,2025-01-14
S00496,B052,C142,2,2024-10-13
S00497,B039,C093,1,2024-12-27
S00498,B034,C126,3,2024-08-18
S00499,B025,C192,1,2025-11-25
S00500,B017,C020,5,2025-03-21
S00501,B078,C119,5,2024-04-12
S00502,B060,C008,5,2025-05-22
S00503,B077,C078,1,2024-12-22
S00504,B049,C077,3,2025-07-27
S00505,B042,C079,3,2025-02-14
S00506,B041,C094,4,2024-08-24
S00507,B050,C168,4,2025-08-19
S00508,B064,C108,3,2025-04-13
S00509,B052,C144,2,2025-02-03
S00510,B100,C184,1,2025-03-14
S00511,B047,C084,1,2025-09-16
S00512,B091,C069,1,2024-12-05
S00513,B005,C040,2,2025-12-06
S00514,B085,C022,3,2024-10-23
S00515,B050,C192,5,2025-10-04
S00516,B009,C083,5,2025-01-08
S00517,B006,C092,3,2024-05-01
S00518,B017,C169,4,2024-07-09
S00519,B066,C016,5,2025-04-02
S00520,B009,C048,3,2024-11-01
S00521,B051,C155,1,2025-05-22
S00522,B089,C035,4,2025-12-17
S00523,B036,C114,2,2025-02-05
S00524,B052,C109,5,2024-11-15
S00525,B087,C068,5,2024-05-16
S00526,B027,C007,4,2024-10-13
S00527,B035,C134,1,2025-07-31
S00528,B078,C186,1,2025-02-01
S00529,B028,C137,4,2024-09-15
S00530,B067,C015,2,2024-01-09
S00531,B012,C105,1,2025-12-23
S00532,B013,C170,3,2024-02-13
S00533,B065,C032,5,2025-01-20
S00534,B093,C061,2,2025-04-10
S00535,B019,C193,4,2025-05-23
S00536,B047,C188,5,2025-12-27
S00537,B008,C107,3,2025-09-13
S00538,B041,C036,1,2025-06-14
S00539,B086,C156,3,2025-09-16
S00540,B049,C064,2,2024-08-23
S00541,B048,C085,3,2025-11-06
S00542,B047,C124,3,2025-11-24
S00543,B070,C064,1,2024-02-25
S00544,B006,C136,5,2025-01-30
S00545,B008,C156,3,2025-12-25
S00546,B034,C168,1,2025-01-18
S00547,B082,C059,3,2025-01-10
S00548,B023,C182,2,2024-05-05
S00549,B075,C038,2,2025-06-18
S00550,B001,C130,1,2025-09-14
S00551,B043,C091,1,2025-10-08
S00552,B016,C173,2,2024-06-10
S00553,B037,C037,3,2025-12-11
S00554,B022,C143,4,2025-03-24
S00555,B028,C106,4,2024-06-19
S00556,B018,C004,2,2024-03-10
S00557,B020,C122,4,2025-03-22
S00558,B029,C039,2,2025-04-15
S00559,B079,C186,1,2025-09-14
S00560,B067,C036,1,2025-09-01
S00561,B053,C067,4,2024-02-12
S00562,B028,C050,4,2024-01-22
S00563,B061,C079,2,2024-12-18
S00564,B048,C030,3,2024-02-05
S00565,B012,C077,4,2025-11-23
S00566,B019,C182,4,2024-11-09
S00567,B049,C191,3,2025-01-17
S00568,B050,C064,1,2024-01-09
S00569,B032,C046,4,2025-10-31
S00570,B038,C095,2,2024-04-18
S00571,B098,C002,3,2024-04-30
S00572,B071,C122,5,2024-10-13
S00573,B085,C082,5,2024-07-13
S00574,B095,C155,2,2025-07-21
S00575,B030,C077,4,2025-04-07
S00576,B079,C037,4,2025-10-20
S00577,B009,C139,3,2024-12-08
S00578,B054,C131,1,2024-11-26
S00579,B077,C037,5,2024-08-10
S00580,B032,C181,1,2025-01-17
S00581,B019,C183,4,2025-04-12
S00582,B076,C175,5,2025-02-06
S00583,B066,C120,4,2025-08-15
S00584,B009,C155,4,2025-07-29
S00585,B061,C070,3,2025-09-14
S00586,B100,C042,1,2025-08-23
S00587,B096,C040,5,2025-10-09
S00588,B021,C152,5,2025-10-01
S00589,B030,C088,5,2025-08-28
S00590,B011,C018,4,2024-09-19
S00591,B062,C050,3,2024-10-20
S00592,B064,C039,5,2024-09-14
S00593,B025,C064,1,2025-01-02
S00594,B006,C084,5,2024-05-15
S00595,B053,C133,2,2024-01-05
S00596,B050,C027,5,2024-04-25
S00597,B084,C195,1,2024-06-23
S00598,B096,C066,5,2024-01-20
S00599,B088,C110,4,2025-07-18
S00600,B046,C108,4,2024-01-31
S00601,B087,C166,1,2024-06-10
S00602,B087,C109,2,2024-10-07
S00603,B077,C021,1,2024-11-10
S00604,B067,C166,5,2024-08-25
S00605,B060,C087,5,2024-03-28
S00606,B078,C154,1,2024-03-24
S00607,B061,C151,2,2025-12-26
S00608,B044,C146,1,2025-05-07
S00609,B055,C131,3,2024-09-23
S00610,B050,C137,5,2025-06-28
S00611,B014,C032,4,2024-02-28
S00612,B091,C059,5,2025-11-23
S00613,B070,C095,3,2024-10-29
S00614,B011,C200,5,2025-07-05
S00615,B063,C080,5,2025-02-10
S00616,B021,C052,2,2025-11-29
S00617,B076,C193,5,2025-04-06
S00618,B003,C050,3,2024-03-21
S00619,B041,C121,5,2025-07-05
S00620,B065,C156,5,2025-08-23
S00621,B002,C111,2,2025-12-30
S00622,B083,C155,5,2025-05-08
S00623,B038,C071,2,2025-11-27
S00624,B053,C166,3,2024-02-26
S00625,B015,C027,3,2024-05-28
S00626,B024,C184,4,2024-05-28
S00627,B047,C190,5,2024-02-27
S00628,B020,C058,3,2025-03-19
S00629,B074,C156,1,2024-11-27
S00630,B089,C153,5,2024-01-14
S00631,B096,C102,5,2025-09-03
S00632,B031,C050,3,2025-10-14
S00633,B072,C187,1,2025-01-08
S00634,B045,C176,4,2024-09-01
S00635,B036,C135,1,2025-10-23
S00636,B044,C173,4,2024-07-01
S00637,B093,C080,5,2025-11-19
S00638,B037,C117,2,2025-10-19
S00639,B076,C137,4,2025-10-12
S00640,B043,C146,3,2025-03-17
S00641,B060,C029,3,2025-11-11
S00642,B010,C038,2,2025-02-04
S00643,B072,C128,1,2025-12-07
S00644,B098,C092,3,2025-12-05
S00645,B067,C044,1,2025-05-23
S00646,B072,C033,5,2024-03-27
S00647,B073,C098,4,2025-04-03
S00648,B008,C173,5,2024-08-18
S00649,B061,C192,1,2025-05-26
S00650,B012,C030,1,2025-10-01
S00651,B042,C055,2,2024-10-12
S00652,B001,C188,2,2024-12-05
S00653,B048,C009,1,2024-01-12
S00654,B073,C122,4,2024-08-29
S00655,B059,C150,5,2024-05-19
S00656,B098,C187,3,2025-02-27
S00657,B043,C125,5,2024-07-08
S00658,B061,C058,1,2024-05-17
S00659,B035,C087,5,2024-07-21
S00660,B056,C186,2,2025-08-27
S00661,B046,C163,3,2024-10-11
S00662,B035,C142,2,2025-08-20
S00663,B079,C038,3,2024-06-21
S00664,B028,C159,4,2025-10-28
S00665,B085,C130,1,2025-01-23
S00666,B061,C090,5,2024-02-21
S00667,B071,C159,4,2025-12-27
S00668,B029,C120,2,2024-11-08
S00669,B027,C135,5,2024-01-10
S00670,B045,C102,1,2024-09-17
S00671,B032,C012,4,2025-07-31
S00672,B078,C018,5,2024-02-25
S00673,B088,C144,2,2025-09-27
S00674,B046,C090,4,2025-01-17
S00675,B053,C032,5,2024-04-22
S00676,B048,C182,5,2025-09-04
S00677,B099,C010,4,2024-02-10
S00678,B059,C002,4,2025-01-26
S00679,B045,C067,1,2024-04-30
S00680,B074,C029,1,2025-03-26
S00681,B021,C046,5,2025-10-25
S00682,B027,C062,3,2025-07-05
S00683,B093,C152,5,2025-08-04
S00684,B066,C042,1,2025-09-24
S00685,B025,C019,3,2024-07-08
S00686,B003,C029,1,2025-08-04
S00687,B099,C110,3,2024-01-19
S00688,B005,C006,5,2024-04-23
S00689,B095,C093,4,2024-04-21
S00690,B011,C081,3,2025-08-10
S00691,B041,C162,4,2025-02-12
S00692,B029,C044,2,2024-03-16
S00693,B067,C079,4,2025-03-30
S00694,B022,C128,4,2025-10-25
S00695,B055,C178,3,2025-06-30
S00696,B029,C077,5,2025-05-27
S00697,B076,C184,5,2024-09-10
S00698,B097,C011,1,2024-10-01
S00699,B080,C086,3,2024-01-17
S00700,B065,C159,2,2025-10-12
S00701,B051,C072,3,2025-11-27
S00702,B042,C157,5,2024-09-20
S00703,B060,C161,2,2024-02-09
S00704,B071,C112,4,2025-01-19
S00705,B058,C117,2,2024-06-13
S00706,B093,C074,5,2024-07-29
S00707,B083,C107,5,2024-08-07
S00708,B089,C023,2,2025-12-06
S00709,B041,C075,3,2024-12-09
S00710,B067,C119,3,2024-04-22
S00711,B019,C020,4,2025-01-12
S00712,B001,C180,2,2024-06-17
S00713,B020,C188,2,2025-05-15
S00714,B028,C039,4,2024-03-14
S00715,B036,C109,1,2025-01-03
S00716,B013,C069,4,2025-10-23
S00717,B068,C090,2,2025-08-16
S00718,B099,C035,5,2024-12-31
S00719,B060,C159,4,2024-09-05
S00720,B060,C118,4,2025-01-22
S00721,B027,C026,1,2025-04-05
S00722,B047,C087,1,2025-01-24
S00723,B082,C047,3,2024-09-09
S00724,B072,C147,4,2024-06-03
S00725,B071,C094,4,2024-04-16
S00726,B034,C090,4,2024-11-29
S00727,B017,C113,2,2024-12-20
S00728,B090,C038,3,2025-02-21
S00729,B010,C136,4,2024-04-13
S00730,B015,C151,5,2024-01-15
S00731,B039,C085,3,2025-04-05
S00732,B035,C128,3,2024-05-21
S00733,B063,C185,2,2024-06-04
